feature,importance
 Destination Port,0.0728626914716427
 Init_Win_bytes_backward,0.05901354528465264
 Total Length of Bwd Packets,0.028917121668986016
Init_Win_bytes_forward,0.028407517815217616
 min_seg_size_forward,0.027847900391521425
 Fwd Packet Length Max,0.02749790346056046
 Flow IAT Mean,0.02712016868951331
Bwd Packet Length Max,0.02686544520619468
 Max Packet Length,0.02580464281261109
 Avg Bwd Segment Size,0.0238174135105091
 Packet Length Mean,0.022759480070617375
 Average Packet Size,0.02240718451220888
 Bwd Header Length,0.021647765292465367
 Subflow Fwd Bytes,0.02143876571914298
 Flow IAT Std,0.021013401467067993
 Flow Duration,0.02029205060475615
 Bwd Packet Length Mean,0.020105870368534857
Total Length of Fwd Packets,0.01973178568834356
 Fwd IAT Max,0.019383070820865194
 Fwd Header Length,0.01871113662405026
 Fwd IAT Mean,0.018426867687009817
Fwd IAT Total,0.018288892573812447
 Fwd Header Length.1,0.017939026881374085
 Fwd Packet Length Mean,0.01788579814826282
 Bwd Packet Length Min,0.017825449728008428
 Subflow Bwd Bytes,0.017727818969272443
 Flow IAT Max,0.017386060625763106
 Fwd IAT Std,0.016983347443136516
 Fwd IAT Min,0.01627837278058361
 Avg Fwd Segment Size,0.016075810934711117
 Packet Length Std,0.014619019342267631
 Subflow Bwd Packets,0.014321966374023207
 Bwd Packets/s,0.01426320278505503
 Fwd Packet Length Std,0.013512172475752173
 Packet Length Variance,0.013471388712412357
 Total Fwd Packets,0.012744773962750278
Subflow Fwd Packets,0.012741400509404355
 act_data_pkt_fwd,0.012101030246973348
 Bwd Packet Length Std,0.011760504387127663
 Total Backward Packets,0.011594299770204755
 Flow IAT Min,0.010686603264793306
 Active Min,0.009754063199639274
Flow Bytes/s,0.00958356386181869
 Idle Min,0.008416380882574013
Idle Mean,0.008333865702896532
Bwd IAT Total,0.008243093563810247
 Bwd IAT Min,0.007377605870022846
 Bwd IAT Mean,0.006963546921654624
 Flow Packets/s,0.006251028640753495
 Min Packet Length,0.006218528508040128
Fwd Packets/s,0.006164467193116023
 PSH Flag Count,0.00592532751068528
 Bwd IAT Max,0.005717999199943551
 Idle Max,0.005261373554324831
 URG Flag Count,0.004900404036062905
 Fwd Packet Length Min,0.004628344288660541
 Bwd IAT Std,0.00458316001205946
Active Mean,0.004299672070701323
 Active Max,0.0036264634737437178
 ACK Flag Count,0.0028603085305297926
 Down/Up Ratio,0.0026916432183452495
Fwd PSH Flags,0.002272042016758796
 SYN Flag Count,0.0014012330409681262
 Idle Std,0.001154822664372746
 Active Std,0.0007945064005428281
FIN Flag Count,0.0002963491314541362
 CWE Flag Count,1.0629987028977749e-06
 Fwd URG Flags,4.550535866689941e-07
 RST Flag Count,1.690918834084367e-08
 ECE Flag Count,2.4628828315378575e-09
 Bwd PSH Flags,0.0
 Bwd Avg Packets/Bulk,0.0
 Bwd Avg Bytes/Bulk,0.0
 Fwd Avg Bulk Rate,0.0
 Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
 Bwd URG Flags,0.0
Bwd Avg Bulk Rate,0.0
